"Series Description","Bank credit, all commercial banks, seasonally adjusted","Securities in bank credit, all commercial banks, seasonally adjusted","Treasury and agency securities, all commercial banks, seasonally adjusted","Treasury and agency securities: Mortgage-backed securities (MBS), all commercial banks, seasonally adjusted","Treasury and agency securities: Non-MBS, all commercial banks, seasonally adjusted","Other securities, all commercial banks, seasonally adjusted","Other securities: Mortgage-backed securities, all commercial banks, seasonally adjusted","Other securities: Non-MBS, all commercial banks, seasonally adjusted","Loans and leases in bank credit, all commercial banks, seasonally adjusted","Commercial and industrial loans, all commercial banks, seasonally adjusted","Real estate loans, all commercial banks, seasonally adjusted","Real estate loans: Residential real estate loans, all commercial banks, seasonally adjusted","Real estate loans: Residential real estate loans: Revolving home equity loans, all commercial banks, seasonally adjusted","Real estate loans: Residential real estate loans: Closed-end residential loans, all commercial banks, seasonally adjusted","Real estate loans: Commercial real estate loans, all commercial banks, seasonally adjusted","Real estate loans: Commercial real estate loans: Construction and land development loans, all commercial banks, seasonally adjusted","Real estate loans: Commercial real estate loans: Secured by farmland, all commercial banks, seasonally adjusted","Real estate loans: Commercial real estate loans: Secured by multifamily properties, all commercial banks, seasonally adjusted","Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties, all commercial banks, seasonally adjusted","Consumer loans, all commercial banks, seasonally adjusted","Consumer loans: Credit cards and other revolving plans, all commercial banks, seasonally adjusted","Consumer loans: Other consumer loans, all commercial banks, seasonally adjusted","Consumer loans: Other consumer loans: Automobile loans, all commercial banks, seasonally adjusted","Consumer loans: Other consumer loans: All other consumer loans, all commercial banks, seasonally adjusted","Other loans and leases: All other loans and leases, all commercial banks, seasonally adjusted","Other loans and leases: All other loans and leases: Loans to nondepository financial institutions, all commercial banks, seasonally adjusted","Other loans and leases: All other loans and leases: Other loans not elsewhere classified, all commercial banks, seasonally adjusted","LESS: Allowance for loan and lease losses, all commercial banks, seasonally adjusted","Cash assets, all commercial banks, seasonally adjusted","Total fed funds sold and securities purchased under agreements to resell, all commercial banks, seasonally adjusted","Loans to commercial banks, all commercial banks, seasonally adjusted","Other assets, all commercial banks, seasonally adjusted","Total assets, all commercial banks, seasonally adjusted","Deposits, all commercial banks, seasonally adjusted","Large time deposits, all commercial banks, seasonally adjusted","Other deposits, all commercial banks, seasonally adjusted","Borrowings, all commercial banks, seasonally adjusted","Net due to related foreign offices, all commercial banks, seasonally adjusted","Other liabilities, all commercial banks, seasonally adjusted","Total liabilities, all commercial banks, seasonally adjusted","Residual (assets less liabilities), all commercial banks, seasonally adjusted"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier:","H8/H8/B1001NCBA","H8/H8/B1002NCBA","H8/H8/B1003NCBA","H8/H8/B1301NCBA","H8/H8/B1302NCBA","H8/H8/B1011NCBA","H8/H8/B1303NCBA","H8/H8/B1304NCBA","H8/H8/B1020NCBA","H8/H8/B1023NCBA","H8/H8/B1026NCBA","H8/H8/B1221NCBA","H8/H8/B1027NCBA","H8/H8/B1220NCBA","H8/H8/B3219NCBA","H8/H8/B1215NCBA","H8/H8/B1216NCBA","H8/H8/B1217NCBA","H8/H8/B1218NCBA","H8/H8/B1029NCBA","H8/H8/B1247NCBA","H8/H8/B3248NCBA","H8/H8/B1243NCBA","H8/H8/B2245NCBA","H8/H8/B3305NCBA","H8/H8/B1030NCBA","H8/H8/B2310NCBA","H8/H8/B1043NCBA","H8/H8/B1048NCBA","H8/H8/B3092NCBA","H8/H8/B1047NCBA","H8/H8/B3053NCBA","H8/H8/B1151NCBA","H8/H8/B1058NCBA","H8/H8/B1072NCBA","H8/H8/B1110NCBA","H8/H8/B3094NCBA","H8/H8/B1100NCBA","H8/H8/B3095NCBA","H8/H8/B1152NCBA","H8/H8/B1091NCBA"
"Time Period","B1001NCBA","B1002NCBA","B1003NCBA","B1301NCBA","B1302NCBA","B1011NCBA","B1303NCBA","B1304NCBA","B1020NCBA","B1023NCBA","B1026NCBA","B1221NCBA","B1027NCBA","B1220NCBA","B3219NCBA","B1215NCBA","B1216NCBA","B1217NCBA","B1218NCBA","B1029NCBA","B1247NCBA","B3248NCBA","B1243NCBA","B2245NCBA","B3305NCBA","B1030NCBA","B2310NCBA","B1043NCBA","B1048NCBA","B3092NCBA","B1047NCBA","B3053NCBA","B1151NCBA","B1058NCBA","B1072NCBA","B1110NCBA","B3094NCBA","B1100NCBA","B3095NCBA","B1152NCBA","B1091NCBA"
1973-01-03,567255.3,162004.0,90446.0,,,71558.0,,,405251.3,134042.1,97979.1,,,,,,,,,86004.1,,,,,87226.0,,,,87062.5,,3262.2,30364.1,706865.6,613674.0,93158.0,,7813.4,,20498.9,642063.7,64801.9
1973-01-10,565505.4,161630.0,90096.0,,,71534.0,,,403875.4,134406.9,98309.3,,,,,,,,,86156.2,,,,,85003.0,,,,82710.9,,3500.5,29472.2,700978.7,596582.0,93947.0,,7198.7,,20863.5,625060.6,75918.2
1973-01-17,565347.7,161334.0,90215.0,,,71119.0,,,404013.7,134982.6,98481.2,,,,,,,,,86354.9,,,,,84195.0,,,,82521.1,,3514.9,29381.0,699562.4,597567.0,94180.0,,7454.6,,20504.7,626054.8,73507.6
1973-01-24,565173.7,160708.0,89362.0,,,71346.0,,,404465.7,135800.8,98916.6,,,,,,,,,86632.3,,,,,83116.0,,,,85928.9,,3683.9,29194.1,700885.2,589744.0,94813.0,,7802.2,,21190.5,619532.8,81352.4
1973-01-31,569708.9,161490.0,90011.0,,,71479.0,,,408218.9,137051.2,99406.7,,,,,,,,,86969.0,,,,,84792.0,,,,85602.4,,3939.4,29814.2,705900.2,596423.7,95162.7,,7615.8,,21820.7,626777.0,79123.2
